time,x,y,z
0.014,-0.03,0.02,0.97
0.014,-0.03,0.03,0.96
0.015,-0.03,0.02,0.98
0.015,-0.02,0.02,0.97
0.023,-0.03,0.03,0.95
0.024,-0.03,0.02,0.94
0.025,-0.03,0.03,0.93
0.026,-0.03,0.03,0.95
0.042,-0.02,0.01,0.96
0.042,-0.02,0.01,0.97
0.043,-0.01,0.02,0.99
0.043,-0.01,0.02,0.99
0.061,-0.02,0.02,1.02
0.062,-0.02,0.04,1.02
0.062,-0.01,0.03,1.02
0.063,-0.03,0.04,1.03
0.082,-0.04,0.04,1.04
0.083,-0.05,0.05,1.03
0.084,-0.05,0.05,1.04
0.084,-0.04,0.05,1.04
0.101,-0.05,0.06,1.04
0.102,-0.04,0.05,1.04
0.103,-0.03,0.05,1.05
0.103,-0.03,0.05,1.05
0.122,-0.02,0.06,1.04
0.122,-0.03,0.06,1.04
0.122,-0.02,0.06,1.04
0.123,-0.01,0.05,1.03
0.142,-0.02,0.06,1.04
0.142,-0.01,0.06,1.03
0.143,-0.02,0.06,1.04
0.143,-0.02,0.07,1.04
0.161,-0.02,0.06,1.04
0.162,-0.03,0.07,1.04
0.163,-0.03,0.07,1.04
0.164,-0.02,0.06,1.03
0.189,-0.02,0.05,1.02
0.190,-0.02,0.06,1.03
0.191,-0.01,0.05,1.03
0.191,-0.01,0.04,1.02
0.206,-0.01,0.05,1.01
0.207,-0.01,0.04,1.00
0.207,-0.01,0.05,1.00
0.208,-0.01,0.05,1.00
0.222,-0.01,0.04,1.01
0.223,-0.01,0.04,0.99
0.224,-0.01,0.03,1.00
0.224,-0.00,0.03,1.00
0.242,0.00,0.04,1.00
0.243,-0.00,0.03,1.02
0.243,0.00,0.03,1.01
0.244,-0.01,0.03,1.01
0.262,0.01,0.03,1.02
0.263,0.00,0.03,1.03
0.264,0.01,0.04,1.02
0.264,0.01,0.05,1.02
0.282,0.01,0.05,1.03
0.283,-0.01,0.05,1.04
0.284,0.01,0.05,1.04
0.285,0.01,0.06,1.03
0.302,0.02,0.06,1.02
0.303,0.02,0.06,1.02
0.304,0.03,0.07,1.02
0.304,0.02,0.07,1.01
0.322,0.02,0.07,1.03
0.323,0.01,0.08,1.03
0.323,0.01,0.07,1.03
0.324,0.00,0.08,1.03
0.342,0.00,0.07,1.03
0.343,0.00,0.07,1.04
0.344,-0.01,0.07,1.06
0.344,-0.01,0.07,1.06
